Username,Alliance,Governor Id,Power,Kill Points,Kills,T1,T2,T3,T4,T5,Deaths,Resource Assistance,Helps
gruMpy,,44386638,21.351.364,92.207.311,8.340.362,409.953,253.907,227.054,5.827.967,1.621.481,2.809.191,1.085.973.442,33.951
ᴮᴼLokasta,,100512333,21.343.694,7.903.256,7.202.978,6.534.028,90.645,18.515,485.470,74.320,506.807,51.147.147,13.844
Mas Blangkon,,100253652,21.299.272,730.522,227.461,21.449,113.549,70.916,21.547,0,157.137,2.777.933,6.120
KKzero,,86508212,21.255.823,4.528.592,1.170.111,342.548,508.275,57.833,201.690,59.765,952.642,1.596.213,5.071
PotChie,,100288944,21.206.443,5.174.231,1.209.514,117.134,631.724,138.259,311.362,11.035,786.807,23.663.884,11.757
亗TakoZ亗,,100403950,21.178.153,21.986.070,2.488.453,177.242,252.804,428.216,1.287.167,343.024,624.949,96.651.542,13.197
亞S3亞,,2910994,21.165.113,97.906,10.627,0,0,1.394,9.233,0,897.326,4.529.294.627,7.672
kamir1,,100624644,21.138.717,6.760.011,781.669,106.235,171.104,21.464,334.662,148.204,285.225,4.059.006,4.708
MU Polotenheg,,99995332,21.136.414,27.715.299,4.359.604,722.364,723.918,773.055,1.977.457,162.810,473.315,51.000.011,7.951
ᴱᴹᴾ Sage,,100855251,21.122.404,69.962,34.250,2.982,27.853,3.415,0,0,53.865,12.000.000,5.723
ᴹᴜ Guppy,,100441405,21.114.904,14.179.939,1.729.347,55.367,287.135,55.739,1.325.048,6.058,91.727,5.975.774,3.044
JWillFM,,99119878,21.090.351,2.805.204,520.134,125.261,45.681,133.855,215.337,0,9.015,246.599.967,2.410
JiantLazbudler,,100313041,21.088.057,948.803,205.309,50.483,64.288,15.875,74.663,0,500.313,0,4.735
ᴮᴼ leily,,101965041,21.072.171,3.468.044,333.649,11.079,33.501,18.979,207.889,62.201,55.570,1.377.421.793,6.320
Soasin,,100520785,21.024.109,217.809,239.358,168.987,61.465,4.663,4.243,0,5.132,0,9.601
hurtappl,,9168240,21.020.845,2.330.675,246.338,10.117,2.045,4.263,229.075,838,145.148,15.772.630.877,4.428
ᴼʂ Hama,,74032337,21.012.768,46.658.952,4.539.838,303.300,195.683,269.889,3.029.195,741.771,2.923.017,12.296.738.525,9.988
Cubedocity,,97167622,20.979.848,3.848.071,381.408,97.614,17.426,5.174,145.088,116.106,77.981,44.861.402,4.501
mckilla420,,100564535,20.962.546,5.751.300,1.565.367,444.491,688.896,118.555,245.811,67.614,1.384.119,5.800.455,4.530
OKAY KZ,,75637027,20.959.952,8.037.111,2.170.592,667.003,794.755,186.615,487.664,34.555,469.724,2.307.271.001,6.038
Tom Føølery,,67775118,20.925.041,1.578.494,431.012,122.199,27.807,257.605,0,23.401,0,272.498.150,5.588
乂VnL MalF乂,,89168546,20.878.977,449.935,58.967,2.357,11.770,3.746,41.094,0,67.595,771.921.336,1.027
ᴊ4ʏᴘɪx x,,4192863,20.871.232,20.499.802,3.616.176,93.569,900.194,1.298.560,1.299.060,24.793,330.932,873.443.543,4.894
Dims Dead Farm4,,47459077,20.869.753,4.437.693,769.335,3.604,29.158,529.029,188.834,18.710,284.727,1.618.254.076,2.655
Rzoz,,100677632,20.831.945,17.075.505,1.803.820,150.307,431.875,16.731,798.337,406.570,1.253.595,15.856.539,5.149
ᴸᴹ 40 Cal,,100404615,20.821.641,3.174.776,549.847,113.078,100.527,151.249,135.375,49.618,422.839,34.038.061,6.200
Mgx25,,100569437,20.821.506,2.147.047,574.519,164.804,277.908,20.495,74.995,36.317,1.262.041,1.599.999,6.803
Elzzzo,,100316798,20.766.351,2.638.775,532.075,74.136,209.224,68.430,167.392,12.893,152.412,55.524,3.359
reBELLEous,,54235825,20.700.166,323.695,85.969,13.544,34.492,30.808,1.373,5.752,76.980,824.472.125,1.524
S A D X,,5059966,20.675.179,16.801.705,987.847,1.256,0,2.331,289.307,694.953,354.819,6.547.607.897,2.558
ᴼʂHarry23,,100661959,20.654.291,71.540.912,10.200.575,3.816.391,691.955,317.291,3.937.420,1.437.518,1.737.709,20.964.398,13.950
joe one cuck,,99117851,20.641.071,22.703.524,5.892.055,793.722,2.378.439,1.569.238,1.150.217,439,169.354,2.620.000,7.168
Zionarmys,,60873297,20.576.173,4.453.363,863.380,85.795,241.960,288.751,214.020,32.854,2.621.466,524.327.082,2.383
kaman dar,,99822736,20.574.914,2.095.450,875.480,120.182,539.992,193.605,21.701,0,71.843,0,4.980
Heaven0,,87116314,20.508.488,14.027.746,2.218.356,371.699,370.567,490.863,845.572,139.655,2.178.860,43.407.700,12.301
CR4ZY TURTL3 1,,54517620,20.482.902,7.972.674,910.269,129.178,163.495,4.572,465.892,147.132,2.657.930,3.952.833.999,7.486
亗 KT 亗,,85708203,20.470.348,77.947.358,9.658.183,864.572,1.102.655,1.035.446,6.168.285,487.225,2.941.614,97.855.144,40.112
Maulos,,101540195,20.436.010,432.150,55.442,0,11.926,4.477,39.039,0,21.636,1.795.030,4.604
シI KVNf2,,99582539,20.430.089,26.192.916,3.601.299,261.618,338.173,904.034,2.010.137,87.337,398.434,515.812.134,16.967
ᴼʂ Mara,,50138547,20.425.209,9.364.128,918.077,48.672,27.379,73.309,636.794,131.923,1.908.659,599.065.900,7.457
MuggleSlayer,,100513351,20.412.510,970.563,306.925,60.165,183.053,7.441,56.266,0,35.905,0,6.747
ᴹғGyarados,,99995038,20.302.414,18.434.781,4.387.641,1.673.215,917.435,320.222,1.455.100,21.669,456.729,2.719.799.465,9.965
Radebeuler Sipp,,100324549,20.282.545,3.219.192,564.881,98.862,116.672,159.694,146.576,43.077,289.204,0,3.749
亗Zach 亗,,100658266,20.219.430,5.342.994,1.372.342,363.232,617.081,75.384,259.825,56.820,282.992,26.814.087,2.808
ᴹᴺ DURAND4L,,100491582,20.201.333,4.892.405,617.099,78.344,83.750,108.059,266.192,80.754,1.380.620,1.320.766,9.214
Beerus Koteka 3,,12412781,20.166.801,16.793.366,968.044,1.872,61,260,252.519,713.332,2.433.402,8.458.497.508,4.459
ᴹғ T1,,102419613,20.138.343,5.364.704,333.180,3.689,5.062,44.683,41.981,237.765,114.330,7.688.817.913,1.605
GĘNĒSIS,,86793371,20.103.845,6.279.563,1.234.129,294.745,261.206,254.533,379.283,44.362,550.404,842.453.392,5.762
ᴹᴜ Orlan27,,104871859,20.080.290,4.258.647,483.286,5.217,128.671,39.983,234.797,74.618,439.515,4.000.000,6.347
Iver is Back,,100666985,20.078.337,14.194.199,1.823.802,208.104,20.370,355.112,1.211.293,28.923,67.131,57.658.763,6.358
Kolia mini,,100593869,20.037.206,1.461.636,176.997,18.452,9.521,8.556,140.468,0,117.838,1.509.058.197,2.310
DavidGUW,,100420521,20.021.533,1.526.498,481.677,91.659,274.913,42.990,65.592,6.523,585.222,4.050.799,3.817
Littlepodonglee,,54393557,20.014.848,735.893,51.513,5.606,0,5.368,9.748,30.791,1.007.241,7.594.071.955,3.181
Petter Fiz,,95006122,19.988.680,19.765.421,4.487.827,844.283,1.480.392,834.320,1.327.814,1.018,72.743,1.119.759.071,8.006
PTT Be,,99943079,19.988.110,35.046.690,10.102.912,3.469.648,3.393.162,1.032.304,2.071.874,135.924,1.500.746,15.437.114,13.006
Angry Saf,,12964555,19.980.323,15.973.165,1.971.434,167.055,75.937,314.530,1.374.848,39.064,1.148.795,2.926.010.644,5.656
VTFck,,99972118,19.926.917,15.454.777,2.841.991,1.165.646,274.320,309.277,841.906,250.842,218.206,19.090.326,24.396
ᴼʂ Lavighju,,100497018,19.922.092,3.200.837,672.666,150.347,268.566,27.314,200.440,25.999,231.245,5.200.000,4.517
Brillig X,,99774310,19.911.072,451.266,143.661,24.329,31.352,82.684,5.296,0,5.419,17.252.704,6.879
kotokata,,100510124,19.909.988,320.964,112.944,7.772,72.494,25.393,7.285,0,7.038,9.205.000,6.000
Spiningfly,,100555454,19.878.049,16.429.416,2.017.095,96.830,264.135,163.545,1.462.410,30.175,1.381.433,0,484
황신원 of Hemy,,52941058,19.874.087,1.657.108,398.429,55.790,154.504,97.283,86.923,3.929,876.552,8.061.197.833,4.244
ᴮᴼChakaloko,,101708506,19.857.719,6.488.434,731.311,25.351,123.119,63.899,439.731,79.211,910.629,21.645.384,15.284
FarmerDavid2,,99971157,19.839.989,19.962.098,2.273.816,219.010,190.439,314.047,1.272.517,277.803,994.506,2.845.664.535,7.244
4kGriffin,,100477705,19.806.502,1.256.993,546.404,99.135,285.093,159.130,3.046,0,37.654,0,2.944
亞S2亞,,87324980,19.757.443,19.930,1.993,0,0,0,1.993,0,0,4.264.776.751,2.494
ᴹғ JoinWick,,99605663,19.731.314,4.363.178,737.451,197.269,200.293,64.967,183.517,91.405,1.430.090,22.869.156,6.700
Vipalex,,98703900,19.710.136,5.870.447,865.866,93.044,175.291,79.009,518.522,0,19.507,73.706.518,7.702
FarmĿǾǾṜ5,,61041453,19.706.585,51.977.019,8.592.930,2.063.736,1.286.404,1.371.056,3.392.744,478.990,3.610.128,673.955.276,11.372
ᴹʷPhoenixV,,22125897,19.653.784,1.475.267,105.807,46,31,4,63.934,41.792,1.071.278,1.456.328.920,2.595
ganss79,,100559793,19.626.397,1.852.092,292.445,43.908,91.450,14.190,125.429,17.468,1.017.852,4.484.819,2.947
ᴼʂBismarckフッ,,99973293,19.607.463,37.671.226,4.800.077,424.139,622.549,940.065,2.368.544,444.780,1.363.236,118.891.908,11.450
亗Twin 1亗,,100177575,19.512.232,8.544.456,1.780.685,644.142,418.882,146.536,443.078,128.047,400.877,20.053.260,19.700
Conte Nero IV,,71798966,19.503.449,0,0,0,0,0,0,0,0,3.697.806.361,2.185
Thumbi F04,,97827528,19.395.755,5.868.087,1.696.469,947.393,108.502,189.451,431.866,19.257,209.010,3.273.234.400,13.913
OS Lorrient,,100419030,19.393.681,8.674.668,935.166,32.360,39.385,7.464,855.957,0,116.232,0,8.452
GeAr BiG ArMy,,100573676,19.379.064,5.255.229,1.676.327,212.476,860.084,424.184,179.583,0,189.024,798.459.684,18.558
Mario tjj,,100505187,19.378.875,1.527.913,484.785,106.974,216.944,89.340,71.527,0,210.022,842.866,1.856
Sabi Farm,,78207473,19.357.293,3.770.515,233.480,1.046,14.836,10.276,44.691,162.631,1.134,2.010.564.893,2.212
Jr Frosty,,94451718,19.285.003,1.717.721,358.109,107.377,139.479,40.587,15.838,54.828,27.002,385.000,8.968
LittleTR,,101531994,19.232.518,2.726.151,399.456,20.706,153.592,49.789,129.171,46.198,766.148,728.874.038,5.790
OtG2,,99886696,19.165.657,1.208.331,247.706,13.033,81.476,81.533,71.664,0,120.861,2.852.906.806,3.848
Woodythe3ed,,15565188,19.118.898,1.273.990,127.399,0,0,0,127.399,0,709.653,272.883.318,3.250
Lilla Isla,,97658454,19.105.862,6.714.010,1.405.480,148.450,732.878,3.826,520.326,0,8.148,9.135.234,4.369
Bėlla Ciao,,92550518,19.079.385,217.593,35.649,15.767,1.179,2.458,12.265,3.980,0,563.789.415,2.451
Brillig VIII,,99791795,19.048.481,114.314,42.462,2.740,27.490,10.589,1.643,0,15.901,6.483.381,6.126
Hellin Hers,,43760086,19.023.585,5.930.302,633.873,1.348,22.820,35.443,574.262,0,47.087,3.017.629.462,5.331
AgentPat,,100533480,18.966.350,5.451.178,1.313.396,254.588,555.421,141.772,350.997,10.618,883.701,407.079,15.728
aimLikeFarm1,,99821814,18.937.359,22.545.305,3.061.065,351.205,507.421,199.518,1.939.627,63.294,285.134,54.599.665,16.885
Magnus Colossus,,100277985,18.927.575,2.974.781,1.782.089,724.884,834.598,177.577,45.030,0,40.276,4.916.919,4.171
DRAGON Xx,,88914655,18.921.450,36.470.827,4.260.812,332.445,311.527,411.991,2.996.366,208.483,32.548,255.215.828,12.240
Eleonorathegr8,,100502000,18.904.875,269.410,51.129,8.848,13.037,8.479,20.765,0,54.498,0,1.821
황신원 of Rose 얀,,99679296,18.894.538,74.756.074,10.379.584,1.012.280,1.234.657,1.793.361,6.187.486,151.800,838.421,1.569.590.245,11.272
ᴹʷD ZERO,,100774874,18.863.772,5.540.287,1.422.046,408.027,537.925,84.128,379.300,12.666,69.018,142.238.930,5.062
aimLikeFarm2,,69243469,18.824.635,9.049.546,1.182.833,181.880,155.082,78.419,695.971,71.481,233.928,55.363.174,11.455
TriboreMenendez,,23400187,18.795.817,89.720,8.972,0,0,0,8.972,0,169.204,4.743.266.017,2.193
Hosier4 farm,,89907693,18.761.454,72.170,7.217,0,0,0,7.217,0,0,55.083.767,2.128
LordZhou,,100555928,18.750.762,6.737.547,2.277.359,277.965,1.223.335,587.551,188.508,0,111.499,21.363.826,4.757
Karbynе,,90819863,18.750.731,5.806.278,1.172.601,164.939,138.637,547.754,312.042,9.229,64.670,2.932.899.335,10.451
Rotulis,,95199775,18.719.931,636.776,59.730,300,330,6.814,43.692,8.594,0,9.600.000,5.972
SPARTA300s,,88914653,18.713.471,30.680.428,4.987.513,978.732,801.581,747.425,2.330.368,129.407,419.142,86.987.297,14.859
TH3SHOGUN,,99765775,18.680.726,12.381.947,1.724.254,525.176,28.663,66.974,1.011.713,91.728,1.294.176,0,14.119
SoulTerminator5,,18257971,18.677.396,486.580,27.017,0,0,0,5.376,21.641,1.082.947,4.643.866.829,2.466
270974,,100558341,18.639.987,1.069.158,185.310,19.232,55.623,27.869,80.913,1.673,78.379,0,2.057
Moss 84,,100565392,18.604.762,2.423.254,1.816.753,965.121,714.560,94.935,42.137,0,99.547,0,2.719
Kаrbyne,,61602687,18.601.981,10.017.096,1.291.495,92.932,220.473,224.891,640.598,112.601,712.178,4.722.346.859,9.371
BKDfarm,,83331911,18.600.087,1.025.004,81.814,0,0,296,60.654,20.864,667.721,317.306.276,1.099
CPTobvious,,99664299,18.591.366,1.135.720,178.721,27.688,48.943,22.729,64.584,14.777,24.143,26.358.136,9.040
WandererMoji,,14015707,18.527.712,0,0,0,0,0,0,0,760.358,2.085.694.283,11.464
ᴸᴹ Mc0b3X,,100257499,18.441.396,5.352.067,1.426.182,324.755,509.358,282.575,305.178,4.316,121.541,46.898.879,20.529
ᴹᴜ LUKE,,100533859,18.389.467,4.538.765,1.371.623,194.736,609.024,403.695,161.637,2.531,105.217,14.000.000,6.015
IRVING LOPEZ,,28626877,18.383.191,3.311.639,456.710,111.624,16.437,34.190,276.950,17.509,570.963,97.199.218,2.658
Mads87,,100504292,18.368.174,2.172.891,212.685,14.034,19.032,30.375,97.436,51.808,1.125.721,1.296,1.474
Happy Saf,,13955941,18.358.306,3.823.596,400.481,38.571,0,6.728,331.467,23.715,996.393,1.792.262.871,1.810
亗Tricky亗,,100288040,18.299.670,78.295.503,13.223.353,3.691.203,1.342.457,1.874.512,5.892.932,422.249,917.675,1.442.307.542,32.561
Caradoc II,,77117574,18.294.516,16.116.579,1.573.558,33.525,50.171,73.388,1.261.350,155.124,402.242,7.202.523.009,5.062
Steezy96,,100459594,18.293.747,15.724.075,1.663.461,86.357,128.265,261.926,933.569,253.344,414.457,112.716.188,8.892
Chief Rocka One,,100505057,18.286.824,688.867,394.496,172.334,141.847,72.074,8.241,0,29.589,497.250,5.034
Cata Hood,,10297792,18.266.501,4.283.199,849.611,184.886,251.345,153.543,206.738,53.099,1.968.088,529.124.883,1.582
inthebinsmaller,,81747598,18.254.458,16.895.278,3.239.276,723.241,794.922,382.194,1.314.637,24.282,86.069,503.676.409,8.839
Elizabeth502,,96615313,18.250.767,705.497,430.378,176.254,190.497,58.238,5.148,241,27.722,541.777.615,1.441
SoulTerminator4,,7801383,18.195.117,1.275.476,128.853,990,8.867,2.951,107.516,8.529,923.862,3.640.308.452,2.447
ᴹᴜ CaraMia,,102326677,18.120.748,7.289.509,629.683,2.506,12.754,62.660,402.240,149.523,194.214,125.840.712,5.707
RedFFº,,103325928,18.118.144,1.348.120,154.195,1.122,13.633,12.295,127.145,0,383.615,1.126.544.731,5.713
Potrivay,,100466202,18.100.287,308.727,102.921,25.936,31.546,35.657,9.782,0,69.474,0,2.248
ᴮᴼNutella,,100574017,18.090.397,3.276.729,1.170.389,263.516,557.831,237.851,106.686,4.505,607.395,21.970.940,6.033
Côntèmptîon,,25184616,18.084.985,728.884,62.502,860,747,11.782,30.217,18.896,122.789,2.459.548.806,1.954
Serhat73,,100494475,18.083.179,2.159.632,920.479,258.280,390.902,231.133,40.164,0,295.972,0,1.858
Vargaspro,,89660332,18.072.775,1.354.914,572.915,185.228,250.903,91.963,44.821,0,267.014,6.703.732,3.323
BillyBobBlues23,,101757650,18.020.990,3.117.419,240.563,1.526,3.666,15.903,134.319,85.149,896.283,815.368.779,3.703
じぃじ  5,,100522877,18.007.156,1.217.063,229.559,27.383,72.177,38.793,91.206,0,611.449,0,0
ᴹᴜ 도지자입니당,,100117937,18.000.753,4.006.156,899.017,274.589,322.910,58.372,179.099,64.047,277.926,0,3.388
Rovack1st,,100772054,17.990.240,1.038.766,204.674,35.259,66.492,21.750,81.173,0,22.276,1.400.000,4.686
Stew Dos,,29321559,17.973.558,234.853,77.448,7.174,55.030,4.847,10.397,0,60.664,3.959.021.839,4.417
S P A J K,,100625046,17.961.040,3.736.618,377.387,37.538,23.927,23.214,226.576,66.132,851.607,8.675.240,11.099
ab hisyam,,100490496,17.928.148,110.187.628,16.214.580,1.375.208,3.593.373,2.218.180,8.670.326,357.493,1.385.061,35.283.401,19.373
ᴮᴼ G Pearl,,100526425,17.899.100,8.331.539,2.116.109,1.260.956,53.863,254.673,397.941,148.676,966.323,33.444.529,12.216
SullensBish,,75512768,17.834.103,3.240.921,210.864,144,2.105,258,93.149,115.208,1.746.193,4.564.366.415,4.042
ᴶʳ  Caius,,96485216,17.825.468,1.081.330,87.480,0,0,0,66.827,20.653,206.334,1.810.391.318,1.607
Senjougahara戦,,88603744,17.818.174,6.623.228,1.873.576,1.078.918,191.163,63.332,503.147,37.016,868.334,39.588.730,5.962
fhmyr2,,73981743,17.805.224,5.223.756,467.494,0,248,31.955,361.038,74.253,720.026,6.960.017.745,4.094
babybonitha,,74325372,17.798.410,1.592.899,246.605,20.703,77.402,9.956,137.675,869,886.721,1.920.633.642,6.237
LORD 40,,100510513,17.783.609,133.826,146.789,91.862,52.127,2.800,0,0,23.254,3.706.000,4.015
Lïl Groot 亗,,100385609,17.746.924,9.711.979,1.004.900,16.865,13.901,82.786,847.730,43.618,498.472,1.504.805.800,10.588
BigBen3374,,100537358,17.739.231,3.830.096,634.052,156.608,108.048,18.547,350.849,0,906.739,0,1.831
CactusB II,,22611852,17.696.389,1.528.120,105.987,0,0,0,59.162,46.825,1.513.180,1.118.370.670,4.856
亞S4亞,,9271479,17.696.270,89.972,10.605,0,1.490,693,8.422,0,375.355,3.325.447.335,3.083
ᴹʷ Mephisto,,100764991,17.667.370,11.277.375,1.331.227,113.795,203.727,78.723,816.737,118.245,914.933,7.016.718,10.791
Conte Nero VI,,99944688,17.666.679,8.452.493,2.356.847,239.244,1.056.493,719.907,341.203,0,76.414,1.778.529.405,7.593
Mrhuzzy,,100514469,17.652.316,292.025,209.703,73.465,133.810,2.428,0,0,21.358,0,2.610
CCHARD3,,30832387,17.588.943,377.530,49.686,6.660,4.423,3.113,35.490,0,21.000,7.870.670.902,2.954
hugouuulcsdx,,100643313,17.541.779,1.157.161,133.459,23.094,28.451,7.740,41.880,32.294,1.076.105,964,9.178
행복한 인생,,100486492,17.532.655,1.336.493,272.710,72.784,9.106,100.746,90.074,0,129.521,38.410.554,1.940
FerryFarm,,98957476,17.532.221,2.073.544,211.695,1.200,1.666,3.053,205.776,0,931.435,702.595.990,1.433
Vetalikus,,100541565,17.466.949,23.841.893,3.725.781,314.067,816.069,680.923,1.887.119,27.603,1.104.679,3.001.331,5.657
KingAsh 002,,98005888,17.463.407,9.946.145,1.027.848,10.794,84.452,20.658,854.643,57.301,203.122,1.494.776.098,5.069
Davé,,100693274,17.377.100,318.185,240.301,125.444,98.925,10.679,5.253,0,58.190,0,3.244
FaqihZafri,,100563938,17.361.948,2.810.852,472.827,48.471,216.305,58.662,85.388,64.001,772.893,0,4.222
ᴼʂ  ACE,,58503240,17.361.924,42.493.309,8.626.127,2.363.427,1.312.010,1.765.121,3.137.526,48.043,1.754.188,33.858.523,2.957
CCHARD4,,53054993,17.352.190,42.992,9.253,0,3.913,3.039,2.301,0,0,8.714.894.593,2.699
VJIberia,,100540265,17.315.349,547.139,122.532,1.446,19.852,84.199,17.035,0,71.665,0,2.787
Toko Pedia,,5441237,17.259.071,1.983.091,349.758,324,9.956,238.611,100.867,0,176.950,1.386.375.507,7.151
Cigarsmoking1,,100483313,17.212.384,2.656.744,695.496,197.698,239.442,106.200,132.960,19.196,48.645,0,13.042
Spartanfan00,,100513104,17.208.353,58.633,17.623,483,5.882,10.968,290,0,1.705,0,2.199
ᴹᴜ fakir,,100497369,17.194.945,10.072.412,3.453.921,1.994.261,453.903,401.686,492.241,111.830,750.011,42.267.000,8.851
A Law v3,,39097924,17.169.045,3.657.072,795.494,103.098,126.131,385.830,176.783,3.652,751.999,4.230.286.943,5.805
Rhuel26,,100560335,17.125.478,662.100,149.125,19.058,44.858,47.253,37.956,0,146.597,0,3.668
Mėh,,76691230,17.121.608,4.378.329,587.824,403,23.193,259.613,279.889,24.726,103.778,5.706.732.642,3.018
Robs Kingdom,,100505090,17.110.956,554.283,165.124,15.496,59.985,77.536,12.107,0,27.546,0,2.168
ロンじぃ,,100479843,17.075.541,110.245,37.578,7.507,19.186,6.413,4.472,0,0,0,1.575
frangkestein,,81575049,17.050.316,14.088.428,2.492.320,182.200,669.133,618.978,1.020.237,1.772,367.806,238.833.314,4.348
Fireking6805,,97199035,17.033.979,3.466.305,1.166.277,451.724,446.670,89.625,144.104,34.154,1.188.315,45.619.611,4.488
Faugami 2,,105061090,17.024.995,171.595,156.008,86.584,66.995,667,1.762,0,0,109.600.005,251
Dígame grillo,,100532478,16.999.545,6.845.705,2.226.797,437.896,925.876,620.646,242.379,0,626.258,196.583,2.530
ᴹʷPhoenixVI,,12442911,16.996.574,1.018.530,71.507,0,0,0,41.161,30.346,699.854,1.708.170.926,1.695
3aHo3kuH 3JIOU,,100542104,16.983.298,1.340.234,140.611,1.349,8.207,11.985,110.579,8.491,699.671,0,2.836
亗 SIXXX 亗,,72136348,16.970.241,4.325.012,586.366,125.358,54.984,42.093,325.702,38.229,942.582,389.362.763,5.514
ᴹᴺBowhunter,,100474662,16.964.659,3.557.106,685.300,79.491,304.015,61.902,211.227,28.665,48.076,9.984.698,8.908
Thumbi F05,,88165275,16.959.234,5.462.832,1.376.753,391.510,523.302,158.279,236.843,66.819,343.196,9.056.068.573,6.514
For3a,,100566469,16.950.318,2.547.734,755.377,52.302,474.305,116.506,112.264,0,697.601,0,2.818
ЛeБлядьe,,100531456,16.868.860,2.920.331,1.717.299,553.743,999.472,138.367,25.717,0,327.614,5.582.991,3.166
ᴹᴜ Sunny,,102650880,16.851.527,6.297.452,871.541,298.829,11.827,28.643,454.538,77.704,121.781,679.217.631,3.619
Agape 7,,100519539,16.833.830,1.819.017,711.811,196.347,282.306,186.074,47.084,0,64.021,6.595.424,3.828
Blind911,,100300806,16.832.371,571.770,119.886,7.990,54.344,28.136,23.938,5.478,30.952,0,1.730
MH Bella ciao,,100467992,16.829.562,1.910.256,537.471,42.102,345.733,47.665,101.971,0,68.053,0,8.533
Nanika ZD,,79807125,16.817.400,2.244.084,512.365,126.072,189.669,21.118,175.506,0,118.925,3.605.801.142,2.747
Kao2021,,100570471,16.801.610,1.073.135,548.245,149.603,301.213,88.917,8.512,0,249.082,0,971
ESD二,,104297920,16.787.232,1.453.906,312.722,8.590,10.666,250.634,42.832,0,57.075,73.408.921,2.578
iAm F,,86573503,16.672.183,339.993,104.222,10.434,52.127,30.493,11.168,0,79.486,1.985.625.784,2.261
ᴮᴼ Caesar,,100572260,16.653.682,4.290.785,1.604.296,372.816,962.654,168.216,39.415,61.195,1.294.542,0,2.826
버사르2,,100381011,16.599.739,353.437,91.535,4.216,10.356,72.958,4.005,0,440,0,2.317
tolikcska,,100492147,16.595.268,4.876.139,950.484,97.296,334.789,166.148,352.251,0,937.146,2.692.112,4.192
Ode the Great3,,95147330,16.546.153,292.049,49.185,823,12.423,15.392,20.547,0,0,1.573.640.887,2.212
Memati Bash 义,,74210419,16.526.085,18.350.419,5.952.590,1.280.564,2.922.386,1.072.521,558.293,118.826,1.825.947,3.501.972.568,3.710
